cip6,soc6,naics6
9.01,21-2021,NA
51.3801,29-1141,NA
54.0102,39-9011,624110
52.0803,43-3071,NA
NA,29-2034,NA
52.0201,11-1021,NA
51.1201,11-1011,NA
50.0708,11-1011,NA
NA,43-6013,622310
42.0101,99-9999,611310
9.0402,33-3051,NA
45.0601,13-2041,NA
26.0101,19-1023,NA
NA,27-2022,713940
42.0101,43-6011,NA
26.0901,11-1011,812990
NA,31-1131,622310
26.0101,29-1123,611310
14.0701,17-2112,327910
51.3801,29-1141,NA
14.1901,17-2141,236210
52.0301,43-6013,621210
51.3801,29-1141,NA
19.0701,29-2098,NA
31.0501,29-1123,611310
1,43-4051,524114
NA,43-4171,NA
45.0601,13-2041,NA
42.0101,99-9999,611310
31.0501,11-1021,611310
24.0102,29-2052,NA
NA,11-1021,NA
51.3801,29-1141,621498
42.0101,99-9999,611310
51.3801,43-4051,611310
50.0301,31-9092,621310
NA,43-6014,813110
50.0702,35-1012,312130
51.3801,29-1141,NA
52.0101,Nov-61,236210
52.0101,13-2041,561440
51.3801,21-Nov,NA
31.0501,25-9044,611310
13.1312,25-3097,NA
52.0301,11-1021,624410
51.3801,29-1141,NA
9.0402,27-2012,NA
43.0102,33-3012,922140
51.3801,29-1141,NA
30,25-3097,611110
24.0102,43-1011,NA
50.0601,27-4031,NA
44.0701,21-1093,624110
9.01,43-6014,NA
30,41-3091,524210
14.3501,17-2112,NA
52.0201,43-3071,NA
52.0201,Nov-31,NA
14.1901,17-3026,541512
23.1301,43-3011,NA
NA,25-1099,611110
NA,25-3097,611110
9.01,43-4051,NA
45.0601,13-2041,NA
52.0101,29-2052,NA
NA,25-3097,NA
45.0601,Nov-98,NA
52.1401,43-4131,NA
45.1001,22-Nov,423830
50.0701,25-2011,611110
NA,29-2018,NA
51.0203,21-1018,611310
26.0202,11-1011,NA
52.1101,29-2053,NA
51.3801,29-1141,621610
42.0101,21-1018,611310
14.3501,17-2112,336612
51.3801,29-1141,NA
52.0301,41-3091,713940
40.0404,27-3011,NA
51.3801,29-1141,621610
11.0701,15-1232,NA
51.3801,29-1141,NA
9.0902,41-9022,NA
51.3801,29-1141,NA
50.0901,43-4051,NA
9.0701,27-2012,NA
31.0501,41-9011,446191
51.0202,25-9044,611310
1.0103,15-1232,NA
50.0904,25-3097,611310
14.1901,53-7121,332311
42.0101,41-2021,443142
9.0402,27-3023,541890
NA,29-1071,611310
51.3801,29-1141,NA
9.0401,27-3023,NA
45.1101,33-3051,NA
51.3801,11-Nov,NA
52.0301,13-2011,541211
NA,43-3031,NA
45.0601,43-4131,NA
14.0801,17-2199,541330
NA,29-2034,NA
31.0504,41-3091,541410
NA,35-3031,722511
9.01,25-3021,NA
42.0101,11-1011,561740
27.0101,41-3091,NA
50.0409,25-3031,611110
52.0101,21-1093,NA
51.3801,29-1141,NA
NA,51-9012,NA
NA,33-3051,NA
40.0501,43-6014,NA
14.1901,Nov-41,236210
45.1001,33-9032,928110
14.1901,17-2141,541330
9.01,25-9045,NA
42.0101,25-9044,611310
42.0101,41-9022,443142
25.0101,51-8031,NA
16.0905,43-4051,NA
51.3801,29-1141,622110
51.0203,21-1012,611310
45.1101,43-1011,611310
23.0101,21-1093,813219
52.1401,29-1141,621498
42.0101,43-1011,NA
31.0501,49-9071,611310
44.0701,Nov-51,NA
9.01,43-4131,NA
52.0213,13-1151,238110
51.3801,21-1093,622310
52.0101,13-2011,622110
