cip6,soc6,naics6
1.0103,53-3033,492110
NA,13-1071,561311
NA,21-Nov,541519
9.0902,43-4051,NA
52.0201,43-1011,492110
NA,21-1093,623311
9.0903,35-3031,722511
11.0701,15-1256,444130
54.0101,53-3031,444130
43.01,Nov-98,443142
52.0201,41-4012,492110
52.0201,25-2011,624410
40.0501,99-9999,444130
52.1401,13-1071,561311
42.0101,Nov-31,447110
43.01,43-4051,312111
45.0601,43-4051,523920
9.0903,27-3031,236116
42.2801,41-1011,NA
52.1401,13-1071,561311
11.0701,Nov-51,NA
9.01,53-5021,722511
52.0201,11-1021,722511
14.4801,15-1256,312111
26.0101,27-3031,623311
14.1901,53-7062,444130
50.0708,25-3031,611110
9.01,13-1071,561311
52.0101,41-2031,236117
26.0101,25-9045,621111
23.0101,43-6014,NA
30,25-2021,611110
26.0101,17-1022,NA
52.0201,51-1011,492110
NA,11-1011,NA
50.0701,53-7062,492110
NA,22-Nov,442110
45.1001,43-4031,922110
51.3801,53-7199,492110
52.0801,13-2041,522110
45.1101,41-3031,523920
45.1101,13-1198,NA
52.1401,Nov-31,NA
45.1001,13-1141,524210
52.0301,13-2011,423110
9.01,43-4051,722511
42.0101,41-9022,541519
26.0901,13-1161,NA
9.0903,27-3031,541613
NA,Nov-31,522320
13.1312,21-1021,624110
52.0201,Nov-98,531390
9.0701,41-3021,522298
9.01,13-1071,561311
NA,53-7062,492110
19.0504,53-3033,492110
9.0401,13-1071,561311
45.0601,Nov-41,NA
42.0101,53-3032,492110
52.1401,22-Nov,425120
51.3801,31-1128,621610
9.01,13-1121,813920
NA,43-1011,541940
42.0101,53-7062,492110
9.01,35-3011,236220
9.01,27-3031,NA
52.0201,43-3031,561311
14.1901,17-2112,541330
40.0501,21-1021,624110
45.0601,13-1071,561311
52.0301,13-2053,522292
52.0201,99-9999,722511
52.1401,13-1071,561311
11.0701,15-1257,561311
52.0801,13-2011,541519
52.0801,13-1071,561311
52.1001,13-1071,238220
3.0103,41-2031,444130
52.0201,Nov-31,722511
11.0701,15-1256,519130
52.0101,43-4051,423310
52.0201,11-1021,492110
23.1401,25-9045,624410
38.0101,13-1071,561312
9.0903,41-3011,NA
52.0201,43-5032,492110
52.0201,27-2012,722511
9.0701,43-4051,551112
23.1301,23-2011,523920
14.1001,15-1256,444130
23.0101,35-3011,722511
51.3801,29-1141,623311
52.1401,43-4051,236117
NA,41-3091,NA
9.0102,25-3097,NA
52.1401,25-2051,624110
54.0101,43-4051,481111
52.0201,13-1198,NA
19.0504,35-3023,441110
45.0401,35-3011,722511
52.2001,17-2051,236220
27.0101,99-9999,492110
9.0102,22-Nov,492110
9.0701,53-3032,492110
40.0601,17-2141,541330
52.0201,41-1011,492110
52.0101,99-9999,722511
45.0201,53-2031,481111
51.3801,41-2031,236117
52.0101,51-1011,492110
9.0402,27-3031,NA
52.0213,Nov-31,722511
NA,21-1094,813212
11.0701,15-1232,492110
42.0101,21-Nov,314110
31.0501,25-9044,NA
52.0201,Nov-51,722511
43.0102,11-1021,722511
52.0201,19-1032,326199
13.0101,25-9045,624410
52.1401,99-9999,713910
NA,Nov-98,444130
45.0401,53-7062,444130
9.0903,21-Nov,722511
52.2001,99-9999,492110
52.0201,13-1121,515210
14.0801,99-9999,722511
31.0501,Nov-98,443142
42.0101,53-3032,492110
52.0201,11-1021,721110
52.0301,15-1256,444130
31.0504,43-4051,523920
52.0201,22-Nov,312111
45.1101,41-2011,444130
14.1901,17-2112,492110
43.01,Nov-98,722511
14.0901,13-1161,611310
16.0302,15-1256,444130
1.1201,41-2022,441310
30.2001,27-3041,NA
52.0201,11-Nov,561311
9.0903,41-3011,551112
43.0102,33-3012,922140
50.0601,53-7062,492110
45.0401,99-9999,561320
52.0201,53-7121,444130
52.1401,13-1111,486910
11.0701,15-1256,334413
52.0213,99-9999,423310
52.0201,13-1071,561311
52.0101,43-4051,312111
14.0903,15-1257,481111
NA,Nov-98,444130
45.0601,47-4041,492110
23.0101,Nov-31,531110
41,27-1025,444130
52.0301,43-3051,492110
52.0801,43-1011,523920
31.0501,11-1021,722511
45.1001,43-1011,425120
14.0901,43-4081,444130
52.0213,99-9999,NA
42.0101,41-2031,444130
52.1401,53-3032,492110
26.0202,13-1071,561311
52.0201,41-3091,492110
51.0602,Nov-31,447110
52.1401,53-7062,444130
11.0701,15-1256,425120
52.0201,Nov-51,722310
23.1301,43-1011,453220
9.0903,13-1028,NA
52.0301,43-5061,312111
52.0901,53-3033,492110
51,43-1011,623311
50.0401,29-2052,541512
51.3801,29-1141,621610
52.0301,13-2011,492110
51.3801,29-1141,621610
9.0902,Nov-98,722511
52.0201,13-2098,334118
NA,41-3091,488510
9.0903,13-1071,561311
52.1401,41-9099,561110
14.1901,49-1011,492110
51.3801,29-1141,621111
45.0601,13-2072,522292
50.0901,15-1256,NA
40.0601,13-1071,NA
14.1901,17-2141,333611
51.3801,29-1141,621111
45.1001,21-1093,813212
NA,17-1011,541519
14.0101,17-2011,611310
52.0201,11-1021,NA
42.0101,15-2031,492110
42.0101,Nov-31,624110
30,41-3091,561320
51.3801,29-1141,622110
30,25-9045,624410
52.2001,41-9022,NA
45.0601,27-3031,623311
51.0602,43-1011,722511
9.0701,27-2012,551112
52.0301,41-3091,492110
14.1901,17-2141,333922
NA,43-1011,NA
52.0201,41-1011,312111
11.0701,15-1256,444130
45.1101,15-1232,561311
13.0101,Nov-98,624410
52.0203,13-1198,NA
11.0101,27-3031,492110
40.0501,15-1256,444130
26.0702,Nov-98,561710
52.0101,43-4051,444130
30.2001,21-1021,624110
42.0101,11-1021,443142
42.0101,Nov-41,531110
52.0201,41-3091,334118
52.0213,17-2112,492110
26.0101,41-4012,444130
23.0101,21-1021,624110
51.1201,43-3021,541512
NA,21-Nov,611110
NA,11-1011,NA
43.0301,51-1011,444130
52.0201,41-2031,444130
52.1401,27-1024,236117
45.0601,43-4051,561311
52.0201,13-1081,312111
45.0401,41-2011,722511
52.0801,13-1071,561311
45.1101,43-1011,444130
52.0201,Nov-31,624410
43.0102,41-2011,722513
9.0903,21-Nov,531110
52.0801,43-1011,721110
45.0901,41-9099,492110
45.1001,41-1011,492110
NA,15-1232,611310
26.0701,31-9092,NA
NA,31-1128,621610
45.0401,43-5011,481111
9.0102,25-2011,624410
52.1401,41-9099,NA
52.0201,41-3091,NA
54.0101,31-1128,621610
5.0108,13-1198,444130
43.01,43-4051,312111
NA,41-3091,NA
24.0101,29-2098,813212
9.01,15-1257,NA
51.3801,29-1141,622110
52.1401,13-1198,NA
50.0702,43-4051,561311
52.0301,13-2011,522110
52.0301,21-1093,928110
15.0305,39-5091,NA
52.0301,43-1011,523920
NA,43-4051,444130
52.0201,13-1111,238210
52.0801,11-1021,NA
42.0101,13-1071,541613
11.0701,15-1256,425120
51.3801,21-1091,923120
52.1401,19-4099,611310
14.0201,19-4099,611310
44.0701,29-2098,813212
23.1304,27-3043,NA
52.0203,Nov-98,423310
52.2001,Nov-98,236117
50.0702,Nov-98,442299
52.0804,13-1071,561311
52.0201,22-Nov,722511
42.0101,35-3031,722511
NA,15-1244,444130
NA,43-5071,444130
11.0701,99-9999,444130
45.1001,Nov-51,813212
52.0201,13-1071,492110
52.0101,22-Nov,NA
11.0701,15-1256,444130
NA,43-1011,326199
51.0001,13-1111,541990
NA,41-2011,444130
43.01,33-3021,722511
42.0101,41-3091,551112
14.1001,17-2112,492110
11.0701,15-1256,444130
31.0501,43-4051,561311
13.1001,99-9999,448110
52.1401,43-1011,492110
45.0201,35-2014,722511
52.1401,13-1071,561312
42.0101,41-2031,444130
11.0701,41-2011,444130
9.0102,Nov-41,531110
52.1401,43-3031,541330
52.0201,15-1257,561710
11.0701,13-1071,492110
51.3801,11-1021,621610
NA,Nov-98,492110
NA,27-3031,551112
NA,Nov-98,492110
52.0201,Nov-98,722511
23.1302,43-6014,445120
9.01,43-1011,236116
11.0701,15-1256,333922
52.0301,35-3023,722511
52.0201,51-1011,326199
52.1401,43-4051,523920
52.0201,27-1026,312111
30.4101,41-2031,444130
NA,29-2053,541890
45.1001,41-2011,444130
9.0903,21-1093,NA
14.0101,11-1021,444130
26.0101,13-1111,511210
30.2001,43-4051,NA
52.0201,41-1011,444130
38.0101,19-4099,621111
NA,35-1012,722511
45.0601,13-2011,492110
52.1001,43-4161,561311
9.0701,27-4032,NA
52.0201,13-1161,444130
42.0101,99-9999,445299
42.0101,25-2011,624410
45.1001,21-Nov,444130
NA,25-2031,611110
52.0201,13-1071,561311
30,25-2011,624410
9.0401,13-1028,561110
NA,21-1093,541613
52.0201,53-7065,492110
9.01,15-1256,624110
26.0202,41-3031,NA
52.0201,15-1211,561311
NA,41-2031,444130
52.0201,Nov-98,722511
52.0801,13-2098,523920
42.0101,43-1011,236117
14.3501,15-1256,444130
23.1304,21-1023,NA
5.0103,53-7062,492110
19.0504,41-2031,444130
52.0203,15-1256,444130
52.1401,43-6013,623311
9.01,41-2031,236117
NA,29-1141,621610
52.0301,43-3031,541512
44.0701,99-9999,NA
52.0201,21-1093,624229
9.01,41-9011,515120
NA,43-4051,722511
11.0701,15-1256,334118
43.01,41-2031,NA
9.0102,41-3011,551112
50.0701,41-3021,NA
30,25-2012,624410
13.0101,Nov-41,531110
52.0901,Nov-98,722511
13.0101,43-3031,NA
14.0501,35-3031,NA
9.01,21-Nov,561440
11.0101,15-1244,561311
26.0801,11-1021,448120
26.0101,11-1011,NA
52.1401,99-9999,444130
42.0101,35-3031,722511
9.0903,15-1232,515210
52.0301,41-2031,447110
11.0701,15-1256,444130
54.0101,53-7062,492110
9.01,Nov-31,531110
52.0801,13-2011,523920
51.3801,29-1141,622110
52.0301,53-1041,481111
42.0101,35-3031,722511
9.01,25-3097,624410
9.01,Nov-98,236116
52.1401,41-4012,423310
52.1401,13-1041,561311
1.0103,21-Nov,236117
14.0901,15-1256,425120
52.0201,35-1012,722511
14.0903,15-1256,444130
9.0102,Nov-41,NA
52.0203,35-3023,481111
14.1001,21-Nov,541613
26.0101,31-9092,923120
52.2001,17-2051,236220
NA,15-1232,561311
52.1401,51-3092,NA
52.1401,13-1071,561311
42.0101,41-3091,492110
9.0102,41-9011,551112
NA,Nov-98,492110
NA,11-1011,NA
NA,15-1232,611310
27.0101,19-2041,611310
51.3801,29-1141,621610
52.0301,13-2011,523920
43.0102,43-6014,541618
45.0601,15-1232,611310
1.0103,51-1011,492110
11.0101,43-1011,722511
52.0101,43-1011,444130
26.0101,13-1151,722511
45.0601,Nov-41,531311
51.3801,21-1023,623311
NA,Nov-31,722511
52.0201,15-1211,541330
52.2001,17-2199,236220
43.0102,41-2031,444130
52.0301,13-2011,492110
52.1401,13-1121,441110
52.0201,13-1151,722511
52.0201,35-3023,722511
9.0902,13-1071,561311
46,17-2199,236220
14.1901,41-2031,444130
52.0901,35-1012,NA
52.0801,13-1198,522320
52.0201,31-1128,621610
51.3801,41-2011,444130
52.0201,13-2098,523920
9.01,Nov-41,531110
52.0201,51-9061,312111
NA,99-9999,624110
52.1001,15-1232,813212
23.0101,41-4012,312111
42.0101,Nov-98,722511
14.0901,13-1111,541511
9.0402,13-1011,NA
52.0201,41-9011,312111
52.1401,27-1024,541430
52.0201,13-1151,442110
52.1401,41-2031,444130
51.3801,29-1141,622110
42.0101,29-2098,813212
52.0201,13-1071,561311
52.0201,41-3091,492110
11.0701,15-1241,522320
14.1001,17-2072,611310
26.0202,19-4099,611310
42.0101,13-1071,561311
14.3501,99-9999,492110
52.0201,99-9999,334118
11.0701,15-1232,444130
52.0213,27-3031,236117
24.0102,41-4012,423310
14.1901,19-1021,611310
51.3801,29-1141,622110
14.1901,15-1299,492110
44,41-4012,522291
43.01,53-7062,492110
52.0201,29-2098,622110
16.12,43-4051,523920
14.2501,41-3091,423310
44.0701,21-1018,423390
52.0301,13-1111,334118
50.0702,35-2014,NA
13.1001,43-6014,624229
NA,43-4051,444130
52.0101,13-2041,522110
52.0201,53-7062,492110
9.01,41-9011,515210
45.1001,15-1221,621111
52.0801,15-2031,334118
45.0701,53-7199,492110
26.0202,29-1141,511210
43.01,41-2031,443142
52.0301,99-9999,492110
9.0903,Nov-98,NA
46,21-Nov,236117
45.1101,99-9999,492110
50.0901,43-6014,561311
9.0402,35-1012,722511
43.01,Nov-98,722511
42.0101,25-2011,624410
40.0601,17-2141,541330
11.0701,15-1256,444130
43.01,53-7062,492110
NA,51-4191,515210
NA,41-1011,NA
52.0301,13-2011,492110
52.0101,53-3032,492110
9.0903,99-9999,722511
9.0902,35-3011,722511
14.3501,17-2141,493120
52.1401,41-9012,561320
46,21-Nov,236117
45.1001,Nov-98,611699
52.1401,53-7062,444130
11.0701,15-1256,334118
52.0201,21-Nov,236117
14.0501,99-9999,611310
52.0301,13-2011,492110
26.0101,29-2098,622110
50.0401,27-1025,541618
40.0601,13-1111,541360
NA,41-2011,444130
NA,11-1011,541612
NA,11-1021,447110
26.0702,Nov-98,561710
51.3801,11-Nov,622310
NA,41-1011,492110
52.1401,43-1011,722511
11.0701,53-6021,444130
14.1901,17-2112,492110
52.0801,41-2031,444130
52.0201,41-1011,722511
52.0201,51-1011,492110
52.0201,41-2011,444130
52.1401,41-3091,492110
52.1401,53-1047,492110
9.0102,43-9061,551112
44.0401,Nov-31,722511
45.1001,43-6011,624190
9.0102,Nov-98,722511
52.0301,13-2011,492110
14.0101,99-9999,444130
NA,43-4051,444130
43.01,29-1141,722511
9.0903,41-9099,515210
14.1001,17-2112,541990
46,17-2112,236220
52.1401,13-1071,561311
52.0201,22-Nov,325412
52.0201,99-9999,492110
16.0905,21-Nov,621111
51.3801,11-Nov,621111
54.0101,43-4171,722511
9.0902,99-9999,722511
50.0301,31-1128,621610
30,41-4012,492110
11.0701,11-Nov,531390
14.1001,49-9071,531390
45.1101,29-2098,813212
43.01,13-1198,623311
50.0501,27-4014,NA
23.1401,Nov-51,624229
19.0701,43-4051,424110
23.1304,21-1023,NA
43.01,99-9999,722511
10.0304,Nov-31,444130
52.0301,Nov-98,492110
52.0301,13-2098,492110
52.1401,99-9999,441110
9.0903,35-3011,722511
42.0101,99-9999,722511
52.0301,13-2011,523920
52.0201,43-4051,444130
52.0803,13-2011,523920
30,21-1093,515210
52.1001,21-Nov,624110
14.3501,41-2031,444130
51.3801,Nov-98,621399
NA,Nov-51,813212
51.2308,11-1021,492110
22,53-1047,492110
42.0101,43-4051,621420
NA,Nov-98,492110
NA,99-9999,722511
45.1101,43-4161,441110
45.1001,22-Nov,561311
NA,43-6011,621111
52.0101,21-Nov,522320
51.3801,Nov-98,481111
9.0401,27-1025,444130
52.0101,43-4051,561311
9.0903,41-3091,561311
43.0102,11-1021,722511
44.0401,21-1093,624190
52.1401,Nov-98,NA
52.0301,13-2031,NA
26.0101,41-2011,444130
50.0601,27-2011,711410
45.1101,Nov-98,531110
46,17-2199,236220
52.0201,43-1011,722511
NA,41-2031,236117
45.0601,53-7065,444130
51.3801,29-1141,622110
52.0203,22-Nov,NA
14.0903,15-1256,334118
52.0201,Nov-98,624410
45.0401,22-Nov,423110
52.0801,43-4051,561311
52.0201,15-1244,333922
52.0201,13-1071,561320
NA,43-4051,561311
13.1001,25-3097,624410
52.1001,22-Nov,325412
42.0101,25-3097,624410
43.01,41-2031,444130
45.0201,43-6013,621399
NA,53-7062,492110
43.01,25-2011,624410
51.3801,29-1141,621111
52.1401,51-1011,492110
14.0901,15-1256,334118
NA,15-1244,517311
52.0201,41-9099,515210
52.0201,99-9999,NA
54.0101,25-3097,624410
52.0201,41-3091,492110
NA,Nov-98,444130
45.1001,41-1012,492110
45.0601,22-Nov,561720
52.0101,13-1041,492110
52.0301,13-2011,492110
9.0903,43-4051,442210
26.0101,25-9045,624410
16.12,43-4051,541512
52.0201,13-1071,541219
45.0601,41-4012,325411
14.0501,25-1099,611310
9.01,27-3031,541110
11.0701,43-1011,492110
52.0903,35-3031,722511
52.1001,43-4051,492110
52.0201,43-1011,444130
45.0901,27-3041,NA
50.0701,27-1011,NA
11.0701,43-3031,444130
NA,29-1124,621111
NA,99-9999,NA
26.0202,51-9199,326199
52.0201,43-3031,424710
19.0504,13-1161,NA
52.0203,25-3097,624410
42.0101,23-2011,541110
52.0901,11-1021,722511
42.0101,43-4051,425120
45.0701,43-3021,541214
52.0201,43-4051,444130
NA,31-1128,621610
9.0903,13-1161,515210
52.1401,17-2199,444130
52.0301,13-2011,523920
52.0201,13-1071,561311
52.1401,41-2011,722511
NA,22-Nov,541519
52.0201,43-1011,481111
52.1401,43-4051,424110
NA,27-3031,722511
13.0101,41-2011,444130
52.0201,41-3031,442210
31.0501,41-4012,492110
14.0901,41-1012,444130
40.0601,15-1211,561311
14.0901,43-1011,492110
52.0201,22-Nov,334513
NA,13-1071,561312
19.0504,35-1012,561720
9.01,53-7062,492110
52.0203,Nov-71,312111
9.0701,43-4051,541990
43.01,53-1047,442210
52.1401,43-1011,444130
14.0101,43-1011,722511
23.0101,17-2051,221118
NA,43-4081,722511
30,Nov-33,NA
50.0908,13-1111,NA
45.1001,Nov-98,236117
14.0701,17-2112,326199
52.0801,13-1111,722511
51.3801,29-1141,621111
9.01,43-4051,561311
45.0601,13-1111,326199
9.0102,53-7062,492110
9.01,41-3021,551112
26.0101,19-5011,492110
14.1901,17-2112,492110
42.0101,41-2011,444130
14.0501,11-1011,541990
31.0501,29-2098,813212
43.0103,43-4051,444130
52.0201,13-1071,492110
45.0201,13-1151,722511
52.1401,21-Nov,722511
13.121,27-3031,561311
45.1001,11-1011,523920
14.1901,17-2141,333611
31.0501,35-3011,722511
16.0102,29-2098,813212
NA,22-Nov,492110
26.0101,19-4099,NA
NA,41-9022,531110
NA,15-1256,425120
42.0101,41-4012,488510
52.0801,11-1021,722511
4.0201,99-9999,722511
NA,11-1021,721110
52.1304,43-1011,623311
26.0101,25-3097,624110
NA,43-4051,561311
52.0101,13-1198,NA
14.1001,25-9044,611310
45.0201,13-1071,621399
51.3801,29-1141,621399
NA,13-1151,336390
52.1401,19-3099,424990
51,53-3033,492110
9.01,27-3041,541519
9.0102,13-1071,561311
52.0301,13-2011,236117
52.1401,22-Nov,492110
52.0201,Nov-98,722511
43.0102,11-1021,492110
52.0201,Nov-31,NA
52.0801,21-Nov,722511
27.0101,15-1256,444130
9.0701,43-4051,444130
52.0903,41-9022,531210
14.0801,43-4081,444130
NA,13-1151,722511
45.0601,13-2053,522292
14.1901,Nov-31,444130
14.0701,15-1257,NA
52.1401,41-2031,444130
14.1001,15-1244,561311
NA,Nov-98,722511
11.0101,41-3091,492110
26.0101,41-2031,722511
42.0101,Nov-33,NA
52.0201,13-1071,561311
26.0101,99-9999,NA
52.0201,41-2031,444130
42.0101,43-3031,561311
52.0201,21-1093,315240
52.0201,43-1011,444130
52.0903,Nov-31,NA
52.0201,43-6014,541519
11.0701,35-1012,722511
52.0201,27-3031,425120
52.1401,22-Nov,238150
NA,29-2098,813212
42.0101,41-2031,444130
14.0101,17-2071,334210
52.0203,41-4012,488510
52.1908,13-1071,561311
45.1101,21-Nov,515112
26.0101,99-9999,923120
31.0501,11-1021,561720
26.0101,13-1198,561311
24.0101,25-2021,NA
42.0101,Nov-98,NA
52.0301,13-2011,492110
45.1001,13-1198,NA
52.0201,13-1161,531110
52.0201,21-Nov,561311
52.1001,21-Nov,326199
26.0101,21-1093,624110
9.0903,13-1071,561311
9.0102,13-1071,722511
14.0901,15-1211,492110
52.0201,Nov-33,624110
NA,43-1011,236117
14.0701,Nov-98,322211
23.0101,43-4051,485991
14.0901,19-4099,611310
NA,41-4012,488510
27.0101,13-1151,722511
52.0203,13-2072,522292
13.0101,43-1011,561311
51.3801,29-1141,621111
1.1001,21-Nov,312111
51.2201,Nov-98,NA
26.0701,41-3091,492110
14.1901,17-2112,492110
9.01,13-1071,561311
9.0903,43-1011,444130
NA,51-4021,424990
1.0103,13-1071,561311
52.0213,11-Nov,NA
NA,13-1071,561311
26.0101,Nov-51,621610
52.1401,53-1047,561710
45.1101,99-9999,NA
9.01,35-3011,722511
43.01,11-1021,447110
52.0901,Nov-51,722511
10.0202,Nov-51,722511
50.0605,27-3041,NA
9.01,43-4051,561311
NA,51-2098,722511
42.0101,43-1011,236210
14.3501,21-1021,624110
38.0101,25-3097,611110
14.0901,43-3031,444130
52.0201,43-4051,523920
52.0201,Nov-98,444130
51.3801,43-1011,722511
52.0201,13-2098,523920
52.1001,13-1071,NA
42.0101,43-4051,523920
9.0102,41-1012,722511
42.0101,Nov-98,492110
50.0901,35-3023,722511
30,51-1011,492110
9.0902,35-3031,722511
52.0101,11-1021,722511
52.1401,41-1011,444130
14.1901,21-1093,236117
9.01,41-2031,NA
52.0801,43-3031,541512
52.0701,13-1198,561311
9.0102,41-9022,531190
44.0701,43-1011,NA
42.0101,13-1151,722511
9.0701,41-3091,551112
52.0804,13-2072,522292
40.1001,17-2112,492110
51.3801,15-1211,NA
NA,25-2022,NA
11.0701,41-1011,447110
52.0201,41-4012,444130
50.0702,27-1025,541519
45.1101,11-1021,NA
52.1401,41-4012,492110
11.0701,15-1256,444130
9.01,13-1151,423310
27.0101,15-2031,NA
52.1401,41-4011,523920
51.3801,29-1141,622110
52.0801,49-1011,492110
42.0101,53-2031,481111
11.0701,15-1256,561499
9.01,41-3091,561311
45.0601,13-2011,444130
9.01,13-1151,722511
9.0102,53-7121,492110
27.0301,25-9044,611310
14.2501,41-2031,444130
26.0101,11-1011,813920
11.0701,15-1256,334118
NA,22-Nov,511210
42.0101,43-4081,721110
45.1001,15-1244,NA
52.0301,13-2011,523920
9.0903,11-1011,NA
52.0801,13-1071,561311
51.2201,33-3021,561311
52.0301,13-2011,492110
24.0103,43-6011,721110
50.0605,43-4051,441110
9.01,Nov-98,722511
26.0101,43-4051,444130
52.0203,13-1081,333922
9.01,13-1071,327992
9.0902,13-1161,515210
19.0504,25-3097,624410
26.0101,31-9092,NA
26.0202,15-1256,425120
14.0903,15-1212,334111
52.1401,43-1011,722513
26.0901,Nov-31,561311
52.1001,43-4171,NA
9.01,41-2011,444130
52.0201,Nov-98,236117
9.0903,41-3011,531210
52.0801,41-3091,561320
43.0102,11-1021,442210
40.0603,41-9022,531110
52.1401,43-4051,492110
NA,99-9999,722511
9.01,41-3091,492110
19.0504,29-1031,722310
50.0605,29-2098,541512
52.0101,41-2031,444130
52.0201,53-1047,492110
NA,41-4012,492110
42.0101,51-1011,447110
45.1001,43-6011,611310
9.01,41-1011,NA
50.0401,41-9022,541519
52.0804,13-2098,492110
9.0102,43-4161,561311
NA,13-1198,441310
52.0201,13-1028,551112
52.0201,43-4181,481111
9.01,41-1012,561311
52.0301,13-2011,492110
38.0101,41-2031,444130
52.0201,21-Nov,561311
52.0301,13-2011,492110
52.1401,35-1012,722511
26.0101,99-9999,541860
9.01,41-4012,NA
43.01,41-2031,444130
9.01,41-2031,444130
45.0901,25-2021,236220
42.0101,53-7121,492110
52.1401,43-6011,515210
14.1901,17-2141,326199
52.1908,13-1071,561312
NA,43-4051,312111
52.1501,Nov-98,236117
19.0701,35-3023,722511
14.0701,19-2041,611310
52.1401,41-2011,444130
NA,43-4051,444130
NA,41-1012,523920
51.3801,25-3021,611610
NA,43-6014,621610
26.0101,29-2052,621111
42.0101,13-1198,444130
44.0401,13-1071,561312
52.0201,43-4081,721110
14.0101,35-1012,722513
52.1401,41-9022,236117
50.0301,13-1071,561311
9.0102,27-2012,515210
51.0204,41-2031,444130
31.0501,53-3033,312111
52.1401,99-9999,NA
NA,53-7065,444130
46,43-4051,444130
31.0501,13-1071,561311
54.0101,Nov-31,441110
NA,41-2031,444130
42.0101,21-1093,NA
51.3801,25-2031,611110
50.0407,Nov-41,531110
45.1001,41-2031,444130
9.01,27-3031,NA
9.0102,43-4051,424110
9.0102,39-9011,NA
52.0801,53-7065,444130
NA,Nov-98,444130
9.0102,21-Nov,722511
54.0101,53-1047,492110
52.0201,21-1012,423390
43.0102,53-3033,492110
52.0201,53-7062,492110
NA,43-4051,312111
10.0304,41-2031,444130
43.0102,35-3023,722511
46,21-Nov,236117
NA,29-1141,623311
26.0101,41-2011,444130
52.0201,25-9045,624410
9.0903,25-2012,624410
NA,51-1011,492110
52.0201,43-4051,NA
42.0101,25-9045,624410
23.0101,49-1011,444130
52.1001,13-1071,561311
14.0101,43-5052,923120
52.0801,41-4012,NA
9.0102,41-9011,551112
NA,29-2098,525990
42.0101,25-1099,621111
9.0902,13-1071,561311
23.1301,99-9999,722511
19.0701,51-1011,492110
52.1401,13-1161,334118
NA,15-1232,518210
NA,11-1021,722511
45.1101,43-4051,561311
52.1401,15-1257,444130
26.0101,41-3091,NA
9.0102,41-2031,444130
52.0301,13-2011,492110
14.0101,27-1019,NA
52.0203,51-1011,492110
52.0301,43-3021,541611
9.01,43-4051,312111
9.0902,21-Nov,722511
50.0201,39-2021,812910
44.0701,Nov-31,722511
NA,43-4051,492110
52.0203,43-5011,483111
51.2201,21-1091,NA
14.0701,49-3011,611310
45.1001,99-9999,NA
19.0701,13-1071,561311
52.0203,15-2031,423310
45.1001,22-Nov,561311
45.1101,41-4012,551114
NA,Nov-51,238110
9.0903,35-3031,722511
45.1001,Nov-41,531120
52.1001,43-3011,518210
51.3801,29-1127,623311
52.1401,41-1012,444130
52.1902,41-2031,236116
26.0101,25-9044,621111
52.1401,21-Nov,442110
52.0301,41-2011,444130
14.1001,17-2112,492110
14.1001,17-2071,326199
NA,11-Nov,515210
42.0101,43-4051,481111
52.0203,13-1198,NA
43.01,29-2041,541618
52.0301,43-9061,551112
42.0101,29-1141,621111
14.1901,25-9044,611310
42.0101,41-2011,441110
52.1401,29-2034,NA
42.0101,11-1021,722511
51.3801,29-1141,621111
14.0101,17-2071,333611
26.0202,25-2011,624410
31.0501,21-Nov,NA
26.0502,25-9044,621111
NA,Nov-31,NA
52.0203,Nov-98,424490
52.1401,35-2021,722511
42.0101,43-4051,561311
45.0901,Nov-33,621111
42.0101,19-1042,621111
19.0701,53-1047,485991
11.0701,15-1256,334118
14.1901,17-2112,326199
50.1001,27-4021,NA
NA,23-1011,453998
52.0206,13-1198,NA
45.0601,Nov-51,813212
NA,43-3051,561311
52.1401,41-3091,NA
19.0701,25-2011,624410
19.0701,13-1071,541219
52.0301,13-2011,523920
52.0213,Nov-98,722511
11.0701,15-1256,444130
52.1401,22-Nov,442110
9.01,43-1011,312111
52.0301,13-2011,523920
52.0801,27-3031,722511
45.1001,27-3031,541519
52.1101,53-7065,444130
52.0101,47-2031,444130
NA,41-2011,722513
19.0504,41-2011,444130
54.0101,Nov-98,722511
51.3801,29-1141,622110
11.0101,15-1232,561311
45.1101,43-4051,561710
50.0702,43-4051,312111
NA,15-1232,481111
52.0201,41-3031,561311
26.0101,29-2098,813212
25.0101,41-2031,444130
51.2201,43-4051,444130
52.0301,41-1011,492110
52.0801,13-1071,561311
10.0202,Nov-51,722511
51,Nov-51,813212
42.0101,35-3023,722511
52.0101,41-4012,442210
14.0701,55-9999,322211
52.1501,43-4081,447190
52.0801,13-2011,523920
42.0101,41-2031,444130
9.01,41-2031,444130
52.1001,13-1071,561311
52.0801,41-4012,441310
52.0801,41-2031,444130
9.0903,25-2012,624410
43.01,43-4051,444130
52.1401,13-1161,541810
42.0101,53-2031,481111
NA,99-9999,722511
NA,25-9044,541613
NA,43-4051,312111
52.1401,43-1011,424330
52.1401,21-Nov,NA
52.1401,21-Nov,722511
30,53-7065,444130
27.0101,25-3097,621111
52.0101,27-3031,NA
52.0201,35-9031,722511
45.0901,25-1099,621111
51.3801,29-1141,622110
52.1401,43-4051,444130
52.0801,Nov-98,492110
52.0201,35-3031,722511
52.0301,41-9031,NA
23.0101,53-1047,492110
14.3501,51-1011,238110
NA,29-1141,622110
NA,11-1021,NA
9.01,99-9999,611420
54.0101,21-Nov,312111
