,learn,pumaid,educ,hours,state,Y,W
2012,10.30895,4400200,12,55,44,10.30895,FALSE
2013,10.95081,4400200,16,45,44,10.95081,TRUE
2014,5.135798,4400200,12,20,44,5.135798,FALSE
2015,10.30895,4400200,14,30,44,10.30895,TRUE
2016,10.87805,4400200,13,80,44,10.87805,TRUE
2017,9.615806,4400200,14,40,44,9.615806,TRUE
2018,10.30895,4400200,16,40,44,10.30895,TRUE
2019,10.37349,4400200,12,40,44,10.37349,FALSE
2020,10.12663,4400200,11,45,44,10.12663,FALSE
2021,9.798127,4400200,11,40,44,9.798127,FALSE
2022,10.04325,4400200,12,40,44,10.04325,FALSE
2023,10.59663,4400200,7.5,50,44,10.59663,FALSE
2024,9.472705,4400200,12,40,44,9.472705,FALSE
2025,10.43412,4400200,13,50,44,10.43412,TRUE
2026,10.4631,4400200,18,50,44,10.4631,TRUE
2027,11.15625,4400200,12,50,44,11.15625,FALSE
2028,9.21034,4400200,14,40,44,9.21034,TRUE
2029,11.14186,4400200,16,40,44,11.14186,TRUE
2030,10.59663,4400200,13,60,44,10.59663,TRUE
2031,10.04325,4400200,11,60,44,10.04325,FALSE
2032,10.30895,4400200,14,45,44,10.30895,TRUE
2033,10.71442,4400200,13,49,44,10.71442,TRUE
2034,10.30895,4400200,14,48,44,10.30895,TRUE
2035,11.82774,4400200,16,40,44,11.82774,TRUE
2036,10.20359,4400200,12,40,44,10.20359,FALSE
2037,12.59134,4400200,16,70,44,12.59134,TRUE
2038,9.392662,4400200,12,40,44,9.392662,FALSE
2039,10.41631,4400200,16,42,44,10.41631,TRUE
2040,11.05089,4400200,13,40,44,11.05089,TRUE
2041,9.825526,4400200,12,44,44,9.825526,FALSE
2042,10.16585,4400200,5.5,50,44,10.16585,FALSE
2043,10.37349,4400200,16,50,44,10.37349,TRUE
2044,10.7579,4400200,18,45,44,10.7579,TRUE
2045,11.28978,4400200,18,50,44,11.28978,TRUE
2046,10.81978,4400200,12,55,44,10.81978,FALSE
2047,9.985067,4400200,10,40,44,9.985067,FALSE
2048,11.0021,4400200,16,75,44,11.0021,TRUE
2049,9.392662,4400200,12,40,44,9.392662,FALSE
2050,9.472705,4400200,16,45,44,9.472705,TRUE
2051,11.0021,4400200,16,40,44,11.0021,TRUE
2052,10.16585,4400200,12,40,44,10.16585,FALSE
2053,10.93311,4400200,14,42,44,10.93311,TRUE
2054,10.37349,4400200,12,45,44,10.37349,FALSE
2055,10.91509,4400200,14,62,44,10.91509,TRUE
2056,9.852194,4400200,10,40,44,9.852194,FALSE
2057,10.64542,4400200,12,50,44,10.64542,FALSE
2058,10.61398,4400200,12,56,44,10.61398,FALSE
2059,8.699514,4400200,12,40,44,8.699514,FALSE
2060,10.08581,4400200,13,40,44,10.08581,TRUE
2061,10.7579,4400200,16,60,44,10.7579,TRUE
2062,9.400961,4400200,12,50,44,9.400961,FALSE
2063,10.859,4400200,16,40,44,10.859,TRUE
2064,7.17012,4400200,12,18,44,7.17012,FALSE
2065,10.71442,4400200,13,48,44,10.71442,TRUE
2066,10.95081,4400200,13,40,44,10.95081,TRUE
2067,11.15625,4400200,13,40,44,11.15625,TRUE
2068,10.04325,4400200,12,40,44,10.04325,FALSE
2069,8.987197,4400200,14,80,44,8.987197,TRUE
2070,9.047821,4400200,14,16,44,9.047821,TRUE
2071,10.40426,4400200,9,50,44,10.40426,FALSE
2072,10.59663,4400200,13,40,44,10.59663,TRUE
2073,9.961757,4400200,12,40,44,9.961757,FALSE
2074,10.71442,4400200,12,49,44,10.71442,FALSE
2075,11.0021,4400200,16,60,44,11.0021,TRUE
2076,10.49127,4400200,12,50,44,10.49127,FALSE
2077,10.08581,4400200,14,45,44,10.08581,TRUE
